file,mean_rt,std_rt,median_rt,min_rt,max_rt,accuracy
A00055085_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,57.692307692307686
A00055103_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,50.0
A00055103_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,50.0
A00055296_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,40.625
A00055296_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,33.33333333333333
A00055392_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,37.03703703703704
A00055392_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,56.00000000000001
A00055392_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,72.0
A00055424_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,44.44444444444444
A00055424_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,37.03703703703704
A00055424_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,24.0
A00055429_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,50.0
A00055429_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,56.00000000000001
A00055429_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,28.000000000000004
A00055436_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,14.285714285714285
A00055436_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,32.432432432432435
A00055540_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00055540_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,64.0
A00055540_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,42.30769230769231
A00055613_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,25.0
A00055613_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,37.03703703703704
A00055613_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,64.0
A00055623_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,48.0
A00055623_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,42.30769230769231
A00055623_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,48.0
A00055628_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,48.0
A00055628_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,51.85185185185185
A00055628_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,36.0
A00055649_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,52.0
A00055649_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,36.0
A00055649_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,40.0
A00055662_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,48.0
A00055662_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,28.000000000000004
A00055662_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,34.48275862068966
A00055682_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,20.634920634920633
A00055682_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,51.85185185185185
A00055682_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,53.84615384615385
A00055731_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,56.00000000000001
A00055731_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,64.0
A00055731_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,56.00000000000001
A00055745_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,30.0
A00055745_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,34.48275862068966
A00055745_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,36.0
A00055837_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,64.0
A00055837_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,32.142857142857146
A00055837_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,68.0
A00055865_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00055865_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,36.0
A00055865_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,48.0
A00055893_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,32.0
A00055893_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,48.0
A00055893_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,32.0
A00055910_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,33.33333333333333
A00055910_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,48.0
A00055910_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,40.0
A00055947_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,50.0
A00055947_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,47.05882352941176
A00055947_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,53.84615384615385
A00055956_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,46.15384615384615
A00055956_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,26.923076923076923
A00055956_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,44.0
